"Submission Date","What is your MBTI type?","Write an uppercase A.","Write a lowercase a.","Write an uppercase D.","Write a lowercase d.","Write a lowercase e.","Write an uppercase G.","Write a lowercase g.","Write a lowercase m.","Write a lowercase s.","Write a lowercase t.","Thank you for your assistance! Leave any comments below."
"2021/01/19 10:32:12",INFP,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868795308329583051/4868795308329583051_base64_22.png,Wheeeeeee
"2021/01/18 21:46:05",ISFJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868335633025108273/4868335633025108273_base64_22.png,
"2021/01/18 20:27:17",INTJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868288356224386852/4868288356224386852_base64_22.png,
"2021/01/18 20:01:59",ISFJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868273181114006506/4868273181114006506_base64_22.png,"Yay Nat!"
"2021/01/18 19:26:39",INFP,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251984411927798/4868251984411927798_base64_22.png,
"2021/01/18 19:25:45",ENFP,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868251449221392268/4868251449221392268_base64_22.png,
"2021/01/18 18:59:25",INTJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868235634411769190/4868235634411769190_base64_22.png,
"2021/01/18 18:45:01",INFJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226995352236252/4868226995352236252_base64_22.png,
"2021/01/18 18:44:33",ISFP,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868226720719659678/4868226720719659678_base64_22.png,
"2021/01/18 18:27:39",INFJ,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_6.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_13.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_14.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_19.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_23.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_15.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_20.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_16.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_21.png,https://www.jotform.com/uploads/nathanianah/210168709933056/4868216589322229954/4868216589322229954_base64_22.png,
